期刊,年份,论文名称,与HFT相关点,与HFT&LOB相关程度（1-5分，5代表重要）
Journal of Financial Economics,2021,Hedging demand and market intraday momentum,Intraday-Trading; Hedging-Demand; Return-Predictability,2
Journal of Financial Economics,2021,The impact of arbitrage on market liquidity,Arbitrage; Market-Liquidity; Price-Efficiency,3
Journal of Financial Economics,2021,Informed trading in government bond markets,Informed-Trading; Government-Bonds; Price-Discovery; Order-Flow,3
Journal of Financial Economics,2021,Price revelation from insider trading: Evidence from hacked earnings news,Insider-Trading; Price-Discovery; Information-Leakage,2
Journal of Financial Economics,2021,Short selling efficiency,Short-Selling; Trading-Efficiency; Price-Discovery,2
Journal of Financial Economics,2022,Retail trader sophistication and stock market quality: Evidence from brokerage outages,Retail-Trading; Brokerage-Outages; Market-Quality; Liquidity,3
Journal of Financial Economics,2022,Price-setting in the foreign exchange swap market: Evidence from order flow,Order-Flow; Price-Setting; FX-Swaps; Dealer-Market,5
Journal of Financial Economics,2022,Liquidity in the global currency market,FX-Market; Liquidity; Dealer-Market,2
Journal of Financial Economics,2022,Refusing the best price?,Best-Execution; Order-Routing; Trading-Venues; Market-Fragmentation,4
Journal of Financial Economics,2023,Heterogeneous liquidity providers and night-minus-day return predictability,Liquidity-Provision; Trader-Heterogeneity; Intraday-Trading; Return-Predictability,3
Journal of Financial Economics,2023,Market power in wholesale funding: A structural perspective from the triparty repo market,Market-Power; Dealer-Market; Repo; Liquidity,2
Journal of Financial Economics,2023,The limits of multi-dealer platforms,Multi-Dealer-Platforms; Dealer-Competition; Trading-Venues; Liquidity,3
Journal of Financial Economics,2024,Siphoned apart: A portfolio perspective on order flow segmentation,Order-Flow-Segmentation; Portfolio-Trading; Trading-Venues; Market-Quality,5
Journal of Financial Economics,2024,High-frequency trading in the stock market and the costs of options market making,HFT; Cross-Market-Trading; Options-Market-Making; Trading-Cost,5
Journal of Financial Economics,2024,Block trade contracting,Block-Trades; Execution; Price-Impact; Contracting,3
Journal of Financial Economics,2024,"Efficient estimation of bid–ask spreads from open, high, low, and close prices",Bid-Ask-Spread; Transaction-Cost-Measurement; OHLC-Data,3
Journal of Financial Economics,2024,Comparing factor models with price-impact costs,Price-Impact; Trading-Cost; Factor-Models,2
Journal of Financial Economics,2025,Warp speed price moves: Jumps after earnings announcements,High-Frequency-Data; Price-Jumps; Earnings-Announcements; Price-Discovery,3
Journal of Financial Economics,2025,Constrained liquidity provision in currency markets,Liquidity-Provision; Dealer-Constraints; FX-Market; Market-Making,3
Journal of Financial Economics,2025,The retail habitat,Retail-Order-Flow; Market-Segmentation; Price-Impact,3
Journal of Financial Economics,2025,When do short sellers trade? Evidence from intraday data and implications for informed trading models,Short-Selling; Intraday-Trading; Informed-Trading; Order-Timing,3
Journal of Financial Economics,2025,Stealthy shorts: Informed liquidity supply,Short-Selling; Informed-Trading; Liquidity-Supply; Limit-Orders,4
Journal of Financial Economics,2025,Differential access to dark markets and execution outcomes,Dark-Markets; Venue-Access; Order-Execution; Execution-Quality,5
Journal of Financial Economics,2025,The retail execution quality landscape,Retail-Orders; Execution-Quality; Wholesalers; Order-Routing,5
