期刊,年份,论文名称,与HFT相关点,与HFT&LOB相关程度（1-5分，5代表重要）
The Review of Financial Studies,2021,Mutual Fund Trading Style and Bond Market Fragility,Institutional-Trading; Bond-Liquidity; Market-Fragility,2
The Review of Financial Studies,2021,Does Option Trading Have a Pervasive Impact on Underlying Stock Prices?,Options-Order-Demand; Cross-Market-Impact; Stock-Prices,2
The Review of Financial Studies,2021,The Chinese Warrants Bubble: Evidence from Brokerage Account Records,Retail-Trading; Account-Level-Data; Warrants; Speculative-Demand,1
The Review of Financial Studies,2022,Dark Pool Trading and Information Acquisition,Dark-Pools; Information-Acquisition; Venue-Choice; Market-Quality,5
The Review of Financial Studies,2022,"Exchange Competition, Entry, and Welfare",Exchange-Competition; Market-Entry; Liquidity; Market-Design,4
The Review of Financial Studies,2022,Order Flows and Financial Investor Impacts in Commodity Futures Markets,Order-Flow; Commodity-Futures; Price-Impact; Financial-Traders,5
The Review of Financial Studies,2022,Foreign Exchange Volume,FX-Market; Trading-Volume; Information-Content; Predictability,3
The Review of Financial Studies,2022,Commonality in Credit Spread Changes: Dealer Inventory and Intermediary Distress,Dealer-Inventory; Intermediary-Constraints; Credit-Spreads; Liquidity,3
The Review of Financial Studies,2022,Dynamics of Research and Strategic Trading,Information-Research; Strategic-Trading; Dynamic-Market,2
The Review of Financial Studies,2022,A Theory of Liquidity Spillover between Bond and CDS Markets,Liquidity-Spillover; Bond-Market; CDS; Cross-Market-Trading,1
The Review of Financial Studies,2022,The Real Effects of Secondary Market Trading Structure: Evidence from the Mortgage Market,Trading-Structure; TBA-Market; Liquidity; MBS,2
The Review of Financial Studies,2022,Extrapolative Bubbles and Trading Volume,Trading-Volume; Investor-Expectations; Bubbles,1
The Review of Financial Studies,2023,From Market Making to Matchmaking: Does Bank Regulation Harm Market Liquidity?,Market-Making; Dealer-Intermediation; Matchmaking; Bond-Liquidity,4
The Review of Financial Studies,2023,When Do Low-Frequency Measures Really Measure Effective Spreads? Evidence from Equity and Foreign Exchange Markets,Effective-Spread; Transaction-Cost-Measurement; Equity; FX,3
The Review of Financial Studies,2023,The Effect of Stock Liquidity on the Firm’s Investment and Production,Stock-Liquidity; Real-Effects; Corporate-Investment,1
The Review of Financial Studies,2023,Exchange-Traded Funds and Real Investment,ETF-Trading; Price-Informativeness; Real-Investment,1
The Review of Financial Studies,2023,Illiquidity and Higher Cumulants,Strategic-Trading; Illiquidity; Return-Distribution; Market-Microstructure-Theory,1
The Review of Financial Studies,2024,Size Discount and Size Penalty: Trading Costs in Bond Markets,Trade-Size; Trading-Cost; Price-Impact; Bond-Market,3
The Review of Financial Studies,2024,Institutional Brokerage Networks: Facilitating Liquidity Provision,Brokerage-Networks; Liquidity-Provision; Institutional-Trades; Price-Impact,3
The Review of Financial Studies,2024,The Value of ETF Liquidity,ETF-Liquidity; Trading-Cost; Market-Design,3
The Review of Financial Studies,2025,Dynamic Market Making with Asymmetric Information and Market Power,Dynamic-Market-Making; Asymmetric-Information; Market-Power; Liquidity,4
The Review of Financial Studies,2025,The Market Inside the Market: Odd-Lot Quotes,Odd-Lot-Quotes; NBBO; LOB; Market-Quality; Price-Discovery,5
The Review of Financial Studies,2025,Fractional Trading,Fractional-Shares; Retail-Trading; Order-Execution; Market-Design,4
The Review of Financial Studies,2025,Liquidity Provision on Blockchain-Based Decentralized Exchanges,DEX; AMM; Liquidity-Provision; Market-Making; Blockchain,4
The Review of Financial Studies,2025,Anticipatory Trading Against Distressed Mega Hedge Funds,Anticipatory-Trading; Institutional-Orders; Price-Impact; Predatory-Trading,3
The Review of Financial Studies,2025,Does Liquidity Management Induce Fragility in Treasury Prices? Evidence from Bond Mutual Funds,Fund-Trading; Treasury-Liquidity; Price-Fragility,2
The Review of Financial Studies,2025,Steering a Ship in Illiquid Waters: Active Management of Passive Funds,Passive-Funds; Liquidity-Management; Trading; Price-Impact,2
The Review of Financial Studies,2026,Option Auctions,Auctions; Options; Order-Execution; Market-Design; Price-Discovery,5
The Review of Financial Studies,2026,Payment for Order Flow and Option Internalization,PFOF; Order-Internalization; Wholesalers; Execution-Quality; Options,5
The Review of Financial Studies,2026,Price Discovery on Decentralized Exchanges,DEX; AMM; Informed-Trading; Price-Discovery; Blockchain,4
The Review of Financial Studies,2026,Algorithmic Pricing and Liquidity in Securities Markets,Algorithmic-Trading; Algorithmic-Pricing; Market-Making; Learning; Liquidity,5
The Review of Financial Studies,2026,Who Clears the Market When Passive Investors Trade?,Passive-Investing; Liquidity-Provision; Counterparties; Price-Impact,3
The Review of Financial Studies,2026,The Effect of Primary Dealer Constraints on Intermediation in the Treasury Market,Primary-Dealers; Dealer-Constraints; Treasury-Market; Liquidity,3
