title,year,doi,filename,status,source,file_size_bytes
Trade-Time Measures of Liquidity,2019,10.1093/rfs/hhy012,RFS_2019_TradeTimeMeasuresOfLiquidity.pdf,downloaded,public_repository_or_author_copy,1457343
"Information, Trading, and Volatility: Evidence from Firm-Specific News",2019,10.1093/rfs/hhy083,RFS_2019_InformationTradingAndVolatilityEvidenceFromFirmSpecificNews.pdf,downloaded,open_repository_or_author_copy,983038
High-Frequency Market Making to Large Institutional Trades,2019,10.1093/rfs/hhy079,RFS_2019_HighFrequencyMarketMakingToLargeInstitutionalTrades.pdf,downloaded,public_repository_or_author_copy,998221
Why Discrete Price Fragments U.S. Stock Exchanges and Disperses Their Fee Structures,2019,10.1093/rfs/hhy073,RFS_2019_WhyDiscretePriceFragmentsUSStockExchangesAndDispersesTheirFeeStructures.pdf,missing,"",
Blockchain-Based Settlement for Asset Trading,2019,10.1093/rfs/hhy122,RFS_2019_BlockchainBasedSettlementForAssetTrading.pdf,downloaded,open_repository_or_author_copy,713247
Informed Trading by Advisor Banks: Evidence from Options Holdings,2019,10.1093/rfs/hhy072,RFS_2019_InformedTradingByAdvisorBanksEvidenceFromOptionsHoldings.pdf,downloaded,open_repository_or_author_copy,368151
Trading Regularity and Fund Performance,2019,10.1093/rfs/hhy059,RFS_2019_TradingRegularityAndFundPerformance.pdf,missing,"",
Liquidity Provision Contracts and Market Quality: Evidence from the New York Stock Exchange,2020,10.1093/rfs/hhz040,RFS_2020_LiquidityProvisionContractsAndMarketQualityEvidenceFromTheNewYorkStockExchange.pdf,downloaded,open_repository_or_author_copy,1360779
Over-the-Counter versus Limit-Order Markets: The Role of Traders’ Expertise,2020,10.1093/rfs/hhz061,RFS_2020_OverTheCounterVersusLimitOrderMarketsTheRoleOfTradersExpertise.pdf,downloaded,public_repository_or_author_copy,973645
Back-Running: Seeking and Hiding Fundamental Information in Order Flows,2020,,RFS_2020_BackRunningSeekingAndHidingFundamentalInformationInOrderFlows.pdf,downloaded,existing,1367403
"Order Cancellations, Fees, and Execution Quality in U.S. Equity Options",2020,10.1093/rfs/hhz088,RFS_2020_OrderCancellationsFeesAndExecutionQualityInUSEquityOptions.pdf,missing,http://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhz088/30021938/hhz088.pdf | http://academic.oup.com/rfs/article-pdf/33/4/1534/32923343/hhz088.pdf,
Options Trading Costs Are Lower than You Think,2020,10.1093/rfs/hhaa010,RFS_2020_OptionsTradingCostsAreLowerThanYouThink.pdf,downloaded,public_repository_or_author_copy,311556
Dash for Cash: Monthly Market Impact of Institutional Liquidity Needs,2020,10.1093/rfs/hhz054,RFS_2020_DashForCashMonthlyMarketImpactOfInstitutionalLiquidityNeeds.pdf,downloaded,open_repository_or_author_copy,1139440
Institutional Trading around Corporate News: Evidence from Textual Analysis,2020,10.1093/rfs/hhz136,RFS_2020_InstitutionalTradingAroundCorporateNewsEvidenceFromTextualAnalysis.pdf,downloaded,open_repository_or_author_copy,993898
Equity Price Discovery with Informed Private Debt,2020,10.1093/rfs/hhz128,RFS_2020_EquityPriceDiscoveryWithInformedPrivateDebt.pdf,missing,http://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhz128/30299625/hhz128.pdf | http://academic.oup.com/rfs/article-pdf/33/8/3766/33509202/hhz128.pdf,
Microstructure in the Machine Age,2021,10.1093/rfs/hhaa078,RFS_2021_MicrostructureInTheMachineAge.pdf,downloaded,open_repository_or_author_copy,1614184
Institutional Order Handling and Broker-Affiliated Trading Venues,2021,10.1093/rfs/hhab004,RFS_2021_InstitutionalOrderHandlingAndBrokerAffiliatedTradingVenues.pdf,downloaded,public_repository_or_author_copy,1123712
Corporate Bond Liquidity during the COVID-19 Crisis,2021,10.1093/rfs/hhab063,RFS_2021_CorporateBondLiquidityDuringTheCOVID19Crisis.pdf,downloaded,open_repository_or_author_copy,453974
Innovation and Informed Trading: Evidence from Industry ETFs,2021,10.1093/rfs/hhaa077,RFS_2021_InnovationAndInformedTradingEvidenceFromIndustryETFs.pdf,downloaded,open_repository_or_author_copy,1208664
The Whack-a-Mole Game: Tobin Taxes and Trading Frenzy,2021,10.1093/rfs/hhaa135,RFS_2021_TheWhackAMoleGameTobinTaxesAndTradingFrenzy.pdf,downloaded,open_repository_or_author_copy,1382318
Mutual Fund Trading Style and Bond Market Fragility,2021,10.1093/rfs/hhaa120,RFS_2021_MutualFundTradingStyleAndBondMarketFragility.pdf,downloaded,open_repository_or_author_copy,1778883
Does Option Trading Have a Pervasive Impact on Underlying Stock Prices?,2021,10.1093/rfs/hhaa082,RFS_2021_DoesOptionTradingHaveAPervasiveImpactOnUnderlyingStockPrices.pdf,downloaded,open_repository_or_author_copy,406866
The Chinese Warrants Bubble: Evidence from Brokerage Account Records,2021,10.1093/rfs/hhaa037,RFS_2021_TheChineseWarrantsBubbleEvidenceFromBrokerageAccountRecords.pdf,missing,http://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhaa037/33210672/hhaa037.pdf | http://academic.oup.com/rfs/article-pdf/34/1/264/34998765/hhaa037.pdf,
Dark Pool Trading and Information Acquisition,2022,10.1093/rfs/hhab098,RFS_2022_DarkPoolTradingAndInformationAcquisition.pdf,downloaded,open_repository_or_author_copy,678377
"Exchange Competition, Entry, and Welfare",2022,10.1093/rfs/hhab101,RFS_2022_ExchangeCompetitionEntryAndWelfare.pdf,downloaded,public_repository_or_author_copy,757082
Order Flows and Financial Investor Impacts in Commodity Futures Markets,2022,10.1093/rfs/hhac008,RFS_2022_OrderFlowsAndFinancialInvestorImpactsInCommodityFuturesMarkets.pdf,downloaded,public_repository_or_author_copy,1362173
Foreign Exchange Volume,2022,10.1093/rfs/hhab095,RFS_2022_ForeignExchangeVolume.pdf,downloaded,open_repository_or_author_copy,1851031
Commonality in Credit Spread Changes: Dealer Inventory and Intermediary Distress,2022,10.1093/rfs/hhac004,RFS_2022_CommonalityInCreditSpreadChangesDealerInventoryAndIntermediaryDistress.pdf,downloaded,open_repository_or_author_copy,815499
Dynamics of Research and Strategic Trading,2022,10.1093/rfs/hhab029,RFS_2022_DynamicsOfResearchAndStrategicTrading.pdf,downloaded,open_repository_or_author_copy,1187438
A Theory of Liquidity Spillover between Bond and CDS Markets,2022,10.1093/rfs/hhab094,RFS_2022_ATheoryOfLiquiditySpilloverBetweenBondAndCDSMarkets.pdf,downloaded,open_repository_or_author_copy,843092
The Real Effects of Secondary Market Trading Structure: Evidence from the Mortgage Market,2022,10.1093/rfs/hhab116,RFS_2022_TheRealEffectsOfSecondaryMarketTradingStructureEvidenceFromTheMortgageMarket.pdf,downloaded,open_repository_or_author_copy,854672
Extrapolative Bubbles and Trading Volume,2022,10.1093/rfs/hhab070,RFS_2022_ExtrapolativeBubblesAndTradingVolume.pdf,downloaded,open_repository_or_author_copy,705517
From Market Making to Matchmaking: Does Bank Regulation Harm Market Liquidity?,2023,10.1093/rfs/hhac068,RFS_2023_FromMarketMakingToMatchmakingDoesBankRegulationHarmMarketLiquidity.pdf,downloaded,open_repository_or_author_copy,607050
When Do Low-Frequency Measures Really Measure Effective Spreads? Evidence from Equity and Foreign Exchange Markets,2023,10.1093/rfs/hhad028,RFS_2023_WhenDoLowFrequencyMeasuresReallyMeasureEffectiveSpreadsEvidenceFromEquityAndForeignExchangeMarkets.pdf,downloaded,open_repository_or_author_copy,528212
The Effect of Stock Liquidity on the Firm’s Investment and Production,2023,10.1093/rfs/hhac036,RFS_2023_TheEffectOfStockLiquidityOnTheFirmSInvestmentAndProduction.pdf,downloaded,open_repository_or_author_copy,977479
Exchange-Traded Funds and Real Investment,2023,10.1093/rfs/hhac043,RFS_2023_ExchangeTradedFundsAndRealInvestment.pdf,downloaded,open_repository_or_author_copy,2022380
Illiquidity and Higher Cumulants,2023,10.1093/rfs/hhac069,RFS_2023_IlliquidityAndHigherCumulants.pdf,downloaded,open_repository_or_author_copy,723051
Size Discount and Size Penalty: Trading Costs in Bond Markets,2024,10.1093/rfs/hhae007,RFS_2024_SizeDiscountAndSizePenaltyTradingCostsInBondMarkets.pdf,downloaded,open_repository_or_author_copy,1322015
Institutional Brokerage Networks: Facilitating Liquidity Provision,2024,10.1093/rfs/hhae026,RFS_2024_InstitutionalBrokerageNetworksFacilitatingLiquidityProvision.pdf,downloaded,open_repository_or_author_copy,1050377
The Value of ETF Liquidity,2024,10.1093/rfs/hhae041,RFS_2024_TheValueOfETFLiquidity.pdf,downloaded,open_repository_or_author_copy,2001151
Dynamic Market Making with Asymmetric Information and Market Power,2025,10.1093/rfs/hhae062,RFS_2025_DynamicMarketMakingWithAsymmetricInformationAndMarketPower.pdf,downloaded,open_repository_or_author_copy,1509971
The Market Inside the Market: Odd-Lot Quotes,2025,10.1093/rfs/hhad074,RFS_2025_TheMarketInsideTheMarketOddLotQuotes.pdf,missing,https://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhad074/52609306/hhad074.pdf | https://academic.oup.com/rfs/article-pdf/38/3/661/52609306/hhad074.pdf,
Fractional Trading,2025,10.1093/rfs/hhae012,RFS_2025_FractionalTrading.pdf,downloaded,open_repository_or_author_copy,566130
Liquidity Provision on Blockchain-Based Decentralized Exchanges,2025,10.1093/rfs/hhaf046,RFS_2025_LiquidityProvisionOnBlockchainBasedDecentralizedExchanges.pdf,missing,https://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhaf046/63752939/hhaf046.pdf | https://academic.oup.com/rfs/article-pdf/38/10/3040/63752939/hhaf046.pdf,
Anticipatory Trading Against Distressed Mega Hedge Funds,2025,10.1093/rfs/hhaf082,RFS_2025_AnticipatoryTradingAgainstDistressedMegaHedgeFunds.pdf,downloaded,open_repository_or_author_copy,827489
Does Liquidity Management Induce Fragility in Treasury Prices? Evidence from Bond Mutual Funds,2025,10.1093/rfs/hhae082,RFS_2025_DoesLiquidityManagementInduceFragilityInTreasuryPricesEvidenceFromBondMutualFunds.pdf,missing,https://academic.oup.com/rfs/advance-article-pdf/doi/10.1093/rfs/hhae082/61090351/hhae082.pdf | https://academic.oup.com/rfs/article-pdf/38/2/337/61090351/hhae082.pdf,
Steering a Ship in Illiquid Waters: Active Management of Passive Funds,2025,10.1093/rfs/hhaf034,RFS_2025_SteeringAShipInIlliquidWatersActiveManagementOfPassiveFunds.pdf,downloaded,open_repository_or_author_copy,760921
Option Auctions,2026,10.1093/rfs/hhaf043,RFS_2026_OptionAuctions.pdf,downloaded,public_repository_or_author_copy,5053419
Payment for Order Flow and Option Internalization,2026,10.1093/rfs/hhaf108,RFS_2026_PaymentForOrderFlowAndOptionInternalization.pdf,downloaded,open_repository_or_author_copy,565201
Price Discovery on Decentralized Exchanges,2026,10.1093/rfs/hhag002,RFS_2026_PriceDiscoveryOnDecentralizedExchanges.pdf,downloaded,open_repository_or_author_copy,12827454
Algorithmic Pricing and Liquidity in Securities Markets,2026,10.1093/rfs/hhag010,RFS_2026_AlgorithmicPricingAndLiquidityInSecuritiesMarkets.pdf,downloaded,public_repository_or_author_copy,1473494
Who Clears the Market When Passive Investors Trade?,2026,10.1093/rfs/hhag032,RFS_2026_WhoClearsTheMarketWhenPassiveInvestorsTrade.pdf,downloaded,open_repository_or_author_copy,4449145
The Effect of Primary Dealer Constraints on Intermediation in the Treasury Market,2026,10.1093/rfs/hhag043,RFS_2026_TheEffectOfPrimaryDealerConstraintsOnIntermediationInTheTreasuryMarket.pdf,downloaded,open_repository_or_author_copy,934722
